iter	Logloss
0	0.552256191
1	0.4799847801
2	0.4266417777
3	0.3989637336
4	0.3772612902
5	0.3662074095
6	0.3526983703
7	0.3421722307
8	0.3357003401
9	0.328539989
10	0.3237275345
11	0.3201042189
12	0.3138872141
13	0.3083552385
14	0.303816195
15	0.2988670635
16	0.2966917168
17	0.2943279486
18	0.2940150895
19	0.2911573645
20	0.2868941151
21	0.2813784675
22	0.2772559945
23	0.2740526078
24	0.2719024826
25	0.2692050316
26	0.2675614286
27	0.2669673529
28	0.2639331467
29	0.261611272
30	0.2575421409
31	0.2550277102
32	0.2514661643
33	0.2486837665
34	0.2468885047
35	0.2441045577
36	0.2414804956
37	0.2392039193
38	0.2370910375
39	0.2339258674
40	0.2321263812
41	0.228953712
42	0.2259209288
43	0.2236216279
44	0.2216732869
45	0.2200276669
46	0.2169072887
47	0.2148058421
48	0.2124728411
49	0.210200572
50	0.2090978852
51	0.2074268355
52	0.2036741919
53	0.2023333606
54	0.2009388939
55	0.1998444418
56	0.1983293934
57	0.1966728752
58	0.1946908927
59	0.1941204808
60	0.1926332192
61	0.1906025845
62	0.1895495952
63	0.1880854344
64	0.186581726
65	0.1848228468
66	0.1833507168
67	0.1823565588
68	0.1809032659
69	0.1796984985
70	0.1785846717
71	0.1777081445
72	0.176295553
73	0.1746528375
74	0.1734368185
75	0.1716657319
76	0.1709368185
77	0.1701300114
78	0.1693540754
79	0.1681917158
80	0.1665173411
81	0.1641431431
82	0.1624538595
83	0.1619165299
84	0.1611357671
85	0.1602665897
86	0.160245836
87	0.158797458
88	0.1575984252
89	0.1575295638
90	0.1559522003
91	0.1542624123
92	0.1526468472
93	0.151750167
94	0.1509612579
95	0.1504072218
96	0.1489318381
97	0.1466269723
98	0.1460480864
99	0.1446774871
100	0.1442946905
101	0.1430046772
102	0.1425079132
103	0.1417974942
104	0.1406281323
105	0.1394511701
106	0.1380712391
107	0.1373505014
108	0.1364716451
109	0.1354059475
110	0.1344326085
111	0.1336141313
112	0.1325392343
113	0.1311912594
114	0.1300585163
115	0.130017619
116	0.1290560945
117	0.1281005532
118	0.1267980164
119	0.1261078435
120	0.1254920339
121	0.124607332
122	0.1240879396
123	0.1234535285
124	0.1221314342
125	0.1211215942
126	0.1211122821
127	0.1200618706
128	0.119530543
129	0.1186471022
130	0.1175440323
131	0.1167479543
132	0.1155829049
133	0.1151753656
134	0.1142791729
135	0.1135485288
136	0.1126757425
137	0.1121223561
138	0.1116527358
139	0.1111559395
140	0.1100814045
141	0.1095352083
142	0.1095246555
143	0.1086643212
144	0.1080140694
145	0.1073161348
146	0.1063849537
147	0.1054985243
148	0.1044649051
149	0.1044598892
150	0.103781976
151	0.1028463879
152	0.1023149751
153	0.1018009202
154	0.1013707787
155	0.1006966044
156	0.100348143
157	0.1002388358
158	0.09992153538
159	0.09941592605
160	0.0984168396
161	0.09807022466
162	0.09757641419
163	0.09720367174
164	0.09624811855
165	0.09572374591
166	0.09473644534
167	0.09441235996
168	0.09385755113
169	0.09364545626
170	0.09337283503
171	0.09307872158
172	0.09250579281
173	0.09206228972
174	0.09136799092
175	0.09077033562
176	0.09046624446
177	0.09003553938
178	0.0889812538
179	0.08858824654
180	0.08833495103
181	0.08793981843
182	0.08744587253
183	0.08691681498
184	0.08665313249
185	0.08620662534
186	0.08564852223
187	0.08526524634
188	0.08494636408
189	0.08419631291
190	0.08358455205
191	0.0830338383
192	0.08265832351
193	0.08229848474
194	0.08180233859
195	0.0814638123
196	0.0807573781
197	0.08031389655
198	0.07980043671
199	0.07964219771
200	0.0792122151
201	0.07867468169
202	0.07836726469
203	0.07799256395
204	0.07773604561
205	0.07746944865
206	0.07719097336
207	0.07674071691
208	0.07651619442
209	0.07627567461
210	0.07602046304
211	0.07543195293
212	0.07480131144
213	0.07442190263
214	0.07421499978
215	0.0740783137
216	0.07359710961
217	0.07326710113
218	0.07289160055
219	0.07223418882
220	0.07183105471
221	0.07154402074
222	0.07117153316
223	0.07105098378
224	0.07069963741
225	0.07025466791
226	0.06990776486
227	0.06954993906
228	0.06903445392
229	0.06867328909
230	0.06808198038
231	0.06796245813
232	0.06760394901
233	0.06722148592
234	0.06690244526
235	0.06661644886
236	0.06627314923
237	0.06601413356
238	0.0658174155
239	0.06547239695
240	0.06524286024
241	0.0647933001
242	0.06450592326
243	0.06421874734
244	0.06394390414
245	0.06358085416
246	0.06319528143
247	0.06289848996
248	0.06253698272
249	0.06192102017
250	0.06175136273
251	0.061472886
252	0.06066701009
253	0.05982682098
254	0.0594157614
255	0.05931126264
256	0.0590379217
257	0.05875685643
258	0.05827452895
259	0.05800199531
260	0.05781170516
261	0.05758435131
262	0.05701725531
263	0.0568032787
264	0.05680325061
265	0.05655387129
266	0.0564157003
267	0.0561719804
268	0.0559772498
269	0.05584963841
270	0.05570578892
271	0.05570571173
272	0.05568186794
273	0.05563168464
274	0.05553266774
275	0.05534407512
276	0.05505370282
277	0.05489367906
278	0.05467206047
279	0.05443119419
280	0.05433451475
281	0.05415743295
282	0.05409028686
283	0.05359347664
284	0.05329390091
285	0.05298642312
286	0.05271226536
287	0.05223368663
288	0.05218616795
289	0.0519896468
290	0.0518054813
291	0.05137980318
292	0.05125606945
293	0.05099370735
294	0.05083067838
295	0.05051306551
296	0.05037694468
297	0.05017938829
298	0.05008139131
299	0.04983602483
300	0.04957173603
301	0.04941271625
302	0.04908889553
303	0.04896699787
304	0.04863296544
305	0.04856306245
306	0.04856196897
307	0.04844539163
308	0.04833641931
309	0.04811502125
310	0.04801981552
311	0.04786921563
312	0.04775213405
313	0.04750603347
314	0.04730274337
315	0.04713235672
316	0.04689904713
317	0.04657480587
318	0.04628503167
319	0.04602318605
320	0.04584869707
321	0.04569964512
322	0.0454597154
323	0.04519269707
324	0.04496848289
325	0.044748161
326	0.04458072168
327	0.04440696189
328	0.04434487825
329	0.04424352438
330	0.04414986477
331	0.04378125627
332	0.04365437307
333	0.04348185269
334	0.04332319721
335	0.04312020516
336	0.04286798053
337	0.04276318435
338	0.04256759557
339	0.04235265765
340	0.04226326081
341	0.0418651193
342	0.0417730603
343	0.0417483402
344	0.04128748645
345	0.04114900097
346	0.0409520389
347	0.04070772745
348	0.04055260261
349	0.04028279324
350	0.0401574141
351	0.04009095908
352	0.0397080299
353	0.03967453706
354	0.03954471512
355	0.03937315411
356	0.03920298144
357	0.03908137969
358	0.03883707461
359	0.03877751987
360	0.03865634266
361	0.03853259443
362	0.03850532916
363	0.03837023087
364	0.03835335918
365	0.03826189612
366	0.03814213544
367	0.03802416365
368	0.03797372192
369	0.03792182633
370	0.0378550845
371	0.03764737857
372	0.03726950983
373	0.03708396082
374	0.03702862464
375	0.03679069252
376	0.03663371458
377	0.03644584471
378	0.03636861979
379	0.03631584097
380	0.0363158317
381	0.03624127755
382	0.03614187038
383	0.03595934144
384	0.0356688024
385	0.03557780241
386	0.03551300933
387	0.03528820874
388	0.03521373067
389	0.03506699658
390	0.0350669783
391	0.03499996513
392	0.03497999627
393	0.03492784025
394	0.03487616961
395	0.0347174583
396	0.03460310753
397	0.03446676188
398	0.03429513829
399	0.03421730991
400	0.03421724198
401	0.03412550614
402	0.03401144884
403	0.03385747042
404	0.03370768364
405	0.03364145998
406	0.03360210027
407	0.03328003112
408	0.03317750921
409	0.03309636978
410	0.03308684064
411	0.03297746397
412	0.03283323926
413	0.03272267285
414	0.03267532949
415	0.03255308891
416	0.03246398884
417	0.03228398476
418	0.0322358263
419	0.03214974063
420	0.0319914928
421	0.03179635502
422	0.03164569368
423	0.03162631804
424	0.03154875987
425	0.0312811777
426	0.03114734299
427	0.03106182207
428	0.03106181118
429	0.03106177209
430	0.03099193702
431	0.03077026526
432	0.03076992417
433	0.03071094465
434	0.03063159731
435	0.03047345015
436	0.03047341913
437	0.03046516222
438	0.03046514376
439	0.03042739206
440	0.0304164729
441	0.0302572158
442	0.03024580384
443	0.03014583042
444	0.03007353214
445	0.02992665858
446	0.02981576598
447	0.02978485211
448	0.02966813583
449	0.02950660075
450	0.02941154772
451	0.02939605312
452	0.02931356003
453	0.02928059643
454	0.02922250343
455	0.02922248126
456	0.02920064396
457	0.02915709508
458	0.0290267881
459	0.02891150061
460	0.02886366261
461	0.02886362402
462	0.02881169449
463	0.02878863925
464	0.02871532654
465	0.02869257793
466	0.02867644806
467	0.02861265551
468	0.02861265057
469	0.0286126495
470	0.02852636845
471	0.02845197506
472	0.02835511491
473	0.02825899842
474	0.02812620009
475	0.02803987964
476	0.02796920775
477	0.02781546985
478	0.02777384307
479	0.0276738665
480	0.02752056041
481	0.0274559295
482	0.0273903232
483	0.02730038616
484	0.02722613538
485	0.02716543723
486	0.02705716291
487	0.02692635031
488	0.02683945185
489	0.02679465947
490	0.02671517409
491	0.02662117324
492	0.0265264014
493	0.02640847251
494	0.02634644299
495	0.02628439642
496	0.02620656227
497	0.02612410792
498	0.02601171038
499	0.02583356486
500	0.02576689214
501	0.02563692595
502	0.02551644219
503	0.02543670873
504	0.02536568508
505	0.02531213457
506	0.02526489595
507	0.02521481974
508	0.02510792764
509	0.02497429089
510	0.02483847203
511	0.02476951719
512	0.02471688124
513	0.02462682648
514	0.02453286131
515	0.02448415491
516	0.02444350064
517	0.02429972172
518	0.02423947261
519	0.02415913178
520	0.024077663
521	0.02401450555
522	0.02397005333
523	0.02393530717
524	0.02390475831
525	0.02390467407
526	0.02384625951
527	0.02384403483
528	0.02384401768
529	0.0238022223
530	0.023766032
531	0.02370115591
532	0.02368324548
533	0.0236184462
534	0.02358355014
535	0.02352451196
536	0.02350992418
537	0.02345390143
538	0.02337053745
539	0.02330057961
540	0.02323144556
541	0.02321060479
542	0.02314280296
543	0.0229949094
544	0.02289437461
545	0.02281792622
