iter	RMSE
0	0.03847300706
1	0.03845895081
2	0.0384427395
3	0.03842431938
4	0.0384087278
5	0.03839481829
6	0.03838399
7	0.0383716943
8	0.03836461658
9	0.03835597691
10	0.03834247773
11	0.03833336474
12	0.03832310892
13	0.03830897039
14	0.03830015494
15	0.03828421003
16	0.03827765753
17	0.03825956318
18	0.03824799537
19	0.03824383317
20	0.03822372444
21	0.03821971167
22	0.0382105019
23	0.03819101771
24	0.0381821572
25	0.03816333354
26	0.0381551051
27	0.03813807245
28	0.03813098877
29	0.03811514847
30	0.03810258795
31	0.03809876982
32	0.03808352659
33	0.03807293536
34	0.03806225795
35	0.03804893219
36	0.03803626343
37	0.03802977804
38	0.03802320243
39	0.0380133361
40	0.03800706627
41	0.03798959674
42	0.03797946108
43	0.03797246499
44	0.0379544678
45	0.03794386949
46	0.03793296059
47	0.03791525332
48	0.03790766917
49	0.03790107862
50	0.0378851837
51	0.03787094822
52	0.03785647919
53	0.03784227108
54	0.03783545098
55	0.03782557176
56	0.03782170173
57	0.03780914231
58	0.03779806449
59	0.03779024854
60	0.03778283437
61	0.03777156411
62	0.03776182325
63	0.03775679054
64	0.03775097411
65	0.03773982003
66	0.03773791452
67	0.03773157094
68	0.03772843343
69	0.03772676594
70	0.03772233067
71	0.03771510371
72	0.03770794801
73	0.03770035008
74	0.03769203074
75	0.03768783295
76	0.03767715194
77	0.03767030717
78	0.03766394346
79	0.03765610361
80	0.03764218958
81	0.0376381567
82	0.03763322737
83	0.03763020776
84	0.03761570889
85	0.03760064653
86	0.03759514146
87	0.03758819363
88	0.03758112599
89	0.0375716206
90	0.03756291688
91	0.0375584062
92	0.03755161681
93	0.03754505628
94	0.03753562635
95	0.03753155696
96	0.03752705781
97	0.03751925139
98	0.03751443066
99	0.03751014066
100	0.03750064282
101	0.03749600045
102	0.03748635682
